gridSize,blue,red,flag,instructionCount,bblCount
14,2,1,A,975819,103779
14,2,2,A,1413658,151212
14,2,3,A,2341005,253393
14,2,4,A,2724345,296391
14,2,5,A,4542529,499101
14,2,6,A,5008700,550025
14,2,7,A,5964616,656251
14,2,8,A,7241003,798263
14,2,9,A,8284817,915054
14,2,10,A,9598950,1061265
14,3,1,A,1982675,216546
14,3,2,A,2352578,256493
14,3,3,A,3169635,346054
14,3,4,A,3728811,408164
14,3,5,A,5645374,621915
14,3,6,A,5954285,655138
14,3,7,A,6771643,745864
14,3,8,A,8046510,887634
14,3,9,A,9019190,996387
14,3,10,A,10336692,1142847
14,4,1,A,3007787,330354
14,4,2,A,3374977,370036
14,4,3,A,4074386,446676
14,4,4,A,4882499,536184
14,4,5,A,6357179,699990
14,4,6,A,7071011,779061
14,4,7,A,7782233,857855
14,4,8,A,9034351,996865
14,4,9,A,9946705,1098683
14,4,10,A,11269464,1245729
14,5,1,A,4279607,472387
14,5,2,A,4640496,511315
14,5,3,A,5314714,585147
14,5,4,A,6112668,673346
14,5,5,A,7388357,814401
14,5,6,A,8442588,931597
14,5,7,A,9070433,1001059
14,5,8,A,10302517,1137765
14,5,9,A,11162062,1233587
14,5,10,A,12481007,1379978
14,6,1,A,5643564,622876
14,6,2,A,6013382,662695
14,6,3,A,6766156,745074
14,6,4,A,7506136,826970
14,6,5,A,9285051,1025186
14,6,6,A,9599506,1058977
14,6,7,A,10064347,1110073
14,6,8,A,11289230,1245977
14,6,9,A,12045642,1330067
14,6,10,A,13327504,1472186
14,7,1,A,6540900,722790
14,7,2,A,6899500,761331
14,7,3,A,7568761,834526
14,7,4,A,8361779,922010
14,7,5,A,9623089,1061322
14,7,6,A,10674799,1178037
14,7,7,A,11406512,1259029
14,7,8,A,12603473,1391626
14,7,9,A,13335731,1473078
14,7,10,A,14609984,1614227
14,8,1,A,8024433,887229
14,8,2,A,8384678,926038
14,8,3,A,9055003,999397
14,8,4,A,9846125,1086620
14,8,5,A,11107836,1226024
14,8,6,A,12143645,1340677
14,8,7,A,12770994,1410001
14,8,8,A,13959317,1541724
14,8,9,A,14628512,1615780
14,8,10,A,15873962,1753257
14,9,1,A,9700812,1074998
14,9,2,A,10062825,1113787
14,9,3,A,10726990,1186305
14,9,4,A,11509758,1272359
14,9,5,A,12763821,1410805
14,9,6,A,13798068,1525150
14,9,7,A,14313825,1581743
14,9,8,A,15492563,1712092
14,9,9,A,16090784,1777874
14,9,10,A,17332839,1914685
14,10,1,A,10010716,1108750
14,10,2,A,10361221,1146293
14,10,3,A,10942253,1209643
14,10,4,A,11636973,1285619
14,10,5,A,12714357,1404527
14,10,6,A,13819513,1526307
14,10,7,A,15079897,1665493
14,10,8,A,16252712,1795118
14,10,9,A,17271234,1907627
14,10,10,A,18487145,2041473
15,1,1,A,431096,43844
15,1,2,A,1173825,126307
15,1,3,A,2403517,262890
15,1,4,A,3582642,394165
15,1,5,A,4821387,532754
15,1,6,A,6983412,775140
15,1,7,A,9009639,1003885
15,1,8,A,10386092,1159429
15,1,9,A,12829684,1431784
15,1,10,A,12371834,1377724
15,2,1,A,898962,94869
15,2,2,A,1671210,180332
15,2,3,A,2888945,315685
15,2,4,A,4048779,444919
15,2,5,A,5246777,579033
15,2,6,A,7407598,821196
15,2,7,A,9410263,1047244
15,2,8,A,10782547,1202203
15,2,9,A,13230895,1475082
15,2,10,A,12763384,1420069
15,3,1,A,2223791,241648
15,3,2,A,2995314,327004
15,3,3,A,4181476,458809
15,3,4,A,5344683,588404
15,3,5,A,6517927,719881
15,3,6,A,8676887,961704
15,3,7,A,10647170,1184123
15,3,8,A,11905736,1326502
15,3,9,A,14466691,1611582
15,3,10,A,13855086,1541065
15,4,1,A,3055958,334923
15,4,2,A,3747489,411562
15,4,3,A,4860822,535171
15,4,4,A,5828109,642331
15,4,5,A,7317657,808805
15,4,6,A,9037123,1000728
15,4,7,A,11522233,1280761
15,4,8,A,12942854,1441093
15,4,9,A,14761757,1641841
15,4,10,A,14847066,1650588
15,5,1,A,5090208,561643
15,5,2,A,5805489,640800
15,5,3,A,7026245,776192
15,5,4,A,8073312,892139
15,5,5,A,9490724,1050556
15,5,6,A,11630474,1289615
15,5,7,A,13457129,1495601
15,5,8,A,14399534,1601723
15,5,9,A,17271977,1921945
15,5,10,A,16109600,1789700
15,6,1,A,6419696,709950
15,6,2,A,7108594,786147
15,6,3,A,8285269,916598
15,6,4,A,9273075,1025838
15,6,5,A,10758297,1191815
15,6,6,A,12661090,1404069
15,6,7,A,14892046,1654895
15,6,8,A,16042864,1783932
15,6,9,A,18701303,2080175
15,6,10,A,17738285,1970378
15,7,1,A,7955157,881591
15,7,2,A,8642279,957526
15,7,3,A,9741373,1079361
15,7,4,A,10689635,1184158
15,7,5,A,12157244,1348172
15,7,6,A,13848506,1536506
15,7,7,A,16298747,1811706
15,7,8,A,17750283,1973975
15,7,9,A,19499784,2167818
15,7,10,A,19434821,2159130
15,8,1,A,10295417,1142176
15,8,2,A,10981530,1217817
15,8,3,A,12143742,1346450
