mapFile,iterations,instructionCount
glider-10-10.json,109,5965871
glider-10-10.json,110,6020569
glider-10-10.json,111,6075267
glider-10-10.json,112,6129965
glider-10-10.json,113,6184663
glider-10-10.json,114,6239361
glider-10-10.json,115,6294059
glider-10-10.json,116,6348757
glider-10-10.json,117,6403455
glider-10-10.json,118,6458153
glider-10-10.json,119,6512851
glider-10-10.json,120,6567549
glider-10-10.json,121,6622247
glider-10-10.json,122,6676945
glider-10-10.json,123,6731643
glider-10-10.json,124,6786341
glider-10-10.json,125,6841039
glider-10-10.json,126,6895737
glider-10-10.json,127,6950435
glider-10-10.json,128,7005133
glider-10-10.json,129,7059831
glider-10-10.json,130,7114529
glider-10-10.json,131,7169227
glider-10-10.json,132,7223925
glider-10-10.json,133,7278623
glider-10-10.json,134,7333321
glider-10-10.json,135,7388019
glider-10-10.json,136,7442717
glider-10-10.json,137,7497415
glider-10-10.json,138,7552113
glider-10-10.json,139,7606811
glider-10-10.json,140,7661509
glider-10-10.json,141,7716207
glider-10-10.json,142,7770905
glider-10-10.json,143,7825603
glider-10-10.json,144,7880301
glider-10-10.json,145,7934999
glider-10-10.json,146,7989697
glider-10-10.json,147,8044395
glider-10-10.json,148,8099093
glider-10-10.json,149,8153791
glider-10-10.json,150,8208489
glider-10-10.json,151,8263187
glider-10-10.json,152,8317885
glider-10-10.json,153,8372583
glider-10-10.json,154,8427281
glider-10-10.json,155,8481979
glider-10-10.json,156,8536677
glider-10-10.json,157,8591375
glider-10-10.json,158,8646073
glider-10-10.json,159,8700771
glider-10-10.json,160,8755469
glider-10-10.json,161,8810167
glider-10-10.json,162,8864865
glider-10-10.json,163,8919563
glider-10-10.json,164,8974261
glider-10-10.json,165,9028959
glider-10-10.json,166,9083657
glider-10-10.json,167,9138355
glider-10-10.json,168,9193053
glider-10-10.json,169,9247751
glider-10-10.json,170,9302449
glider-10-10.json,171,9357147
glider-10-10.json,172,9411845
glider-10-10.json,173,9466543
glider-10-10.json,174,9521241
glider-10-10.json,175,9575939
glider-10-10.json,176,9630637
glider-10-10.json,177,9685335
glider-10-10.json,178,9740033
glider-10-10.json,179,9794731
glider-10-10.json,180,9849429
glider-10-10.json,181,9904127
glider-10-10.json,182,9958825
glider-10-10.json,183,10013523
glider-10-10.json,184,10068221
glider-10-10.json,185,10122919
glider-10-10.json,186,10177617
glider-10-10.json,187,10232315
glider-10-10.json,188,10287013
glider-10-10.json,189,10341711
glider-10-10.json,190,10396409
glider-10-10.json,191,10451107
glider-10-10.json,192,10505805
glider-10-10.json,193,10560503
glider-10-10.json,194,10615201
glider-10-10.json,195,10669899
glider-10-10.json,196,10724597
glider-10-10.json,197,10779295
glider-10-10.json,198,10833993
glider-10-10.json,199,10888691
glider-10-10.json,200,10943389
glider-10-10.json,201,10998087
glider-10-10.json,202,11052785
glider-10-10.json,203,11107483
glider-10-10.json,204,11162181
glider-10-10.json,205,11216879
glider-10-10.json,206,11271577
glider-10-10.json,207,11326275
glider-10-10.json,208,11380973
glider-10-10.json,209,11435671
glider-10-10.json,210,11490369
glider-10-10.json,211,11545067
glider-10-10.json,212,11599765
glider-10-10.json,213,11654463
glider-10-10.json,214,11709161
glider-10-10.json,215,11763859
glider-10-10.json,216,11818557
glider-10-10.json,217,11873255
glider-10-10.json,218,11927953
glider-10-10.json,219,11982651
glider-10-10.json,220,12037349
glider-10-10.json,221,12092047
glider-10-10.json,222,12146745
glider-10-10.json,223,12201443
glider-10-10.json,224,12256141
glider-10-10.json,225,12310839
glider-10-10.json,226,12365537
glider-10-10.json,227,12420235
glider-10-10.json,228,12474933
glider-10-10.json,229,12529631
glider-10-10.json,230,12584329
glider-10-10.json,231,12639027
glider-10-10.json,232,12693725
glider-10-10.json,233,12748423
glider-10-10.json,234,12803121
glider-10-10.json,235,12857819
glider-10-10.json,236,12912517
glider-10-10.json,237,12967215
glider-10-10.json,238,13021913
glider-10-10.json,239,13076611
glider-10-10.json,240,13131309
glider-10-10.json,241,13186007
glider-10-10.json,242,13240705
glider-10-10.json,243,13295403
glider-10-10.json,244,13350101
glider-10-10.json,245,13404799
glider-10-10.json,246,13459497
glider-10-10.json,247,13514195
glider-10-10.json,248,13568893
glider-10-10.json,249,13623591
glider-10-10.json,250,13678289
glider-10-10.json,251,13732987
glider-10-10.json,252,13787685
glider-10-10.json,253,13842383
glider-10-10.json,254,13897081
